French translation of A_Keys;";";A_Key;fr
Précision spatiale;Spatial Accuracy
Statut de la négociation;Negotiation Status
Pays;Country
Zone sous contrat (ha);Contract area (ha)
Année d'accord;Year of agreement
Intention de l'investissement;Intention of Investment
Source des données;Data source
Nom;Name
Caractère de l'opération;Nature of the deal
Récolte;Crop
Animaux;Animals
Minéraux;Mineral
Utilisation des produits;Use of produce
Extraction de l'eau;Water extraction
Les investisseurs payent combien pour l'eau;How much do investors pay for water
Quelle quantité d'eau est extraité (m3/an);How much water is extracted (m3/year)
Numéro de référence original;Original reference number
Agriculture;Agriculture
Sylviculture;Forestry
Zone actuelle en exploitation (ha);Current area in operation (ha)
Durée de l'accord (en années);Duration of Agreement (years)
L'état de mise en œuvre;Implementation status
Prix des terrains;Land price
Frais de location (par an);Leasing fee (per year)
Agriculture contractuelle;Contract farming
Superficie (ha);Area (ha)
Nombre d'agriculteurs;Number of farmers
Prévue nombre total d'emplois;Planned total number of jobs
Courant nombre total d'emplois;Current total number of jobs
Comment a réagi la communauté;How did community react
Consultation de la communauté locale;Consultation of local community
Compenstation promis ou reçus;Promised or received compenstation
Avantages pour les collectivités locales;Benefits for local communities
Nombre de personnes effectivement déplacées;Number of people actually displaced
L'ancien propriétaire prédominante du terrain;Former predominant land owner
Ancien utilisateur prédominante des terres;Former predominant land user
Ancien utilisation prédominante des terres;Former predominant land use
URL / Web;URL / Web
Date;Date
Remarque;Remark
