French translation of A_Values;";";A_Value;fr
En cours de négociation;Under negotiation
Entente verbale;Oral agreement
Contrat signé;Contract signed
Échec des négociations;Negotiations failed
Contrat résilié;Contract cancelled
Agriculture;Agriculture
Sylviculture;Forestry
Exploitation minière;Mining
Tourisme;Tourism
Industrie;Industry
Conservation;Conservation
Énergies renouvelables;Renewable energy
Autre;Other
Rapport des médias;Media report
Document de recherche;Research paper
Sources gouvernementales;Government sources
Sources de l'entreprise;Company sources
Contrat;Contract
Informations personnelles;Personal information
Autre;Other
