Spanish translation of Activity Keys;";";A_Key;es
Animals;Animales;;;key
Announced amount of investment;Cantidad de inversión anunciada;;;key
Annual leasing fee area (ha);Área de la cuota anual de arrendamiento (ha);ha;ha;key
Benefits for local communities;Beneficios para las comunidades locales;;;key
Consultation of local community;Consulta a las comunidades locales;;;key
Contract Number;Número de contrato;;;key
Contract area (ha);Área del contrato (ha);ha;ha;key
Contract date;Fecha del contrato;;;key
Contract farming;Contrato de trabajo agrícola;;;key
Country;País;;;key
Crop;Cultivo;;;key
Current Number of daily/seasonal workers;Número actual de trabajadores por día o por temporada;;;key
Current area in operation (ha);Área actual en operación (ha);ha;ha;key
Current number of employees;Número actual de empleados;;;key
Current total number of jobs;Número total de empleos actual;;;key
Data source;Fuente de los datos;;;key
Date;Fecha;;;key
Duration of Agreement (years);Duración del Contrato (años);years;años;key
Files;Archivos;;;key
Former predominant land cover;Recubierta original predominante de la tierra;;;key
Former predominant land owner;Dueño original predominante de la tierra;;;key
Former predominant land use;Uso original predominante de la tierra;;;key
How did community react;¿Cómo ha reaccionado la comunidad?;;;key
How much do investors pay for water;Cuánto paga el inversor por el agua;;;key
How much water is extracted (m3/year);Cuánta agua es extraida (m3/año);m3/year;m3 per año;key
Implementation status;Estado de aplicación;;;key
Intended area (ha);Área pretendida (ha);ha;ha;key
Intention of Investment;Intención de la inversión;;;key
Leasing fee (per year);Alquiler anual (por año);per year;per año;key
Mineral;Minerales;;;key
Nature of the deal;Carácter del acuerdo;;;key
Negotiation Status;Estado de la negociación;;;key
Number of farmers;Número de agricultores;;;key
Number of people actually displaced;Número de personas desplazadas;;;key
Original reference number;Número de referencia original;;;key
Planned Number of daily/seasonal workers;Número de trabajadores planeados diarios/o por temporada;;;key
Planned number of employees;Número previsto de empleados;;;key
Planned total number of jobs;Total de empleos planeados;;;key
Promised or received compensation;Compensación prometidio o recibida;;;key
Purchase price;Precio de compra ;;;key
Purchase price area (ha);Área del precio de compra (ha);ha;ha;key
Remark;Observación;;;key
Scope of agriculture;Ámbito Agrícola;;;key
Scope of forestry;Ámbito Forestal;;;key
Spatial Accuracy;Precisión espacial;;;key
URL / Web;Página Web;;;key
Use of produce;Uso de los productos;;;key
Water extraction;Extracción de agua;;;key
Year;Año;;;key
