French translation of Activity Keys for SPM;";";A_Key;fr
Aesthetic;Esthétique;
Agricultural product;Produit agricole;
Animal-based resources;Ressources à base d’animaux;
Animals from in-situ aquaculture;Aquaculture (animaux);
Average annual budget (in USD);Budget moyen annuel de l’activité;USD
Bequest value for future generations;Valeur des legs (biens) pour les générations futures;
Bio-remediation by plants and animals;Bio-remédiation par les plantes (flores) et les animaux (faunes);
Buffering and attenuation of mass flows;Atténuation des flux de masse (solide);
Chemical condition of freshwaters;Condition chimique de l’eau douce;
Chemical condition of salt waters;Condition chimique de l’eau salée;
Commune;Commune;
Cultivated crops;Plantes cultivées;
Data source;Source de données;
Date;Date;
Decomposition and fixing processes;Processus de décomposition des matières originelles et processus de fixation des nutriments;
Destination;Destination;
Detailed focus of activity;Activité principale;
Disease control;Contrôle des maladies;
District;District;
Educational;Education (information & connaissance);
End date;Date de clôture;
Entertainment;Activités de loisirs;
Existence;Existence;
Fibres and other materials from plants, or animals for direct use or processing;Fibres et autres matériaux de plantes et d’animaux pour l’utilisation directe et  transformation ;
File;Fichier;
Filtration/sequestration/storage/accumulation ;Dilution / séquestration / stockage / accumulation ;
Filtration/sequestration/storage/accumulation by ecosystems ;Dilution/ séquestration / stockage / accumulation par écosystème;
Flood protection;Protection contre les inondations/crues;
Fokontany;Fokontany;
Genetic materials from all biota;Matériaux génétiques de tous les biotes;
Global climate regulation by reduction of greenhouse gas concentrations;Régulation du climat global par réduction des concentrations des gaz à effet de serre ;
Goals of activity;Objectifs de l'activité;
Ground water for drinking;Eau souterraine pour consommation;
Ground water for non-drinking purposes;Eau souterraine pour autre but que consommation;
Heritage, cultural;Héritage, culturel;
Hydrological cycle and water flow maintenance;Cycle hydrologique et maintien des cycles d’eau;
Land owner before;Propriétaire des terres avant;
Land owner now;Propriétaire des terres actuel;
Land use;Type d'utilisation de terres;
Level of intervention;Niveau d'intervention;
Main constraints;Principales contraintes ;
Main focus of activity;Activité principale;
Maintaining nursery populations and habitats;Maintien de la population des pépinières  et de leurs habitats;
Mass stabilisation and control of erosion rates;Stabilisation du sol et contrôle du taux d’érosion;
Materials from plants, algae and animals for agricultural use;Matériaux de plantes, algues et animaux, pour l’utilisation agricole;
Micro and regional climate regulation;Régulation du climat au niveau local (microclimat) et régional;
Name of activity;Nom de l'activité;
Nobody else was working in this area in our field of interest;Personne d’autre travail dans cette localité dans le même domaine que nous;
Number of local population involved;Nombre population locale impliqué;
Number of permanent employment generated;Nombre emploi permanent généré;
Number of temporary employment generated;Nombre emploi temporaire généré;
Other;Autre;
Other product;Autre produit;
Pest control;Contrôle des ravageurs / parasites;
Plant-based resources;Ressources à base de plantes;
Plants from in-situ aquaculture;Aquaculture (plantes);
Pollination and seed dispersal;Pollinisation et dissémination des graines;
Reared animals and their outputs;Animaux élevés et leurs produits;
Remark;Remarque;
Sacred and/or religious;Sacrée et/ou religieux;
Scientific;Scientifique;
Somebody in the organization had personal ties to this location;Quelqu’un dans l’organisation avait des liens personnels avec cette localité;
Spatial accuracy of point;Précision spatiale du point;
Start date;Date de début;
State of advancement;Etat d'avancement;
Storm protection;Protection contre les vents violents;
Surface water for drinking;Eau de surface pour consommation;
Surface water for non-drinking purposes;Eau de surface pour autre but que consommation;
Symbolic;Symbolique;
The location is easily accessible;La localité est facilement accessible;
The need for this activity is bigger than elsewhere in the country;Le besoin pour cette activité est élevé comparé à celui d’autres localités dans le pays;
There was a local demand for our activity;Il y avait une demande locale pour cette activité;
There was a national demand for our activity;Il y avait une demande nationale pour cette activité;
Total project budget (in USD);Budget total de l’activité;USD
Touristic activities ;Activités touristiques;
Type of local stakeholder addressed;Types d’acteurs locaux auxquels s’adresse l'activité;
URL / Web;URL / Site Web;
Weathering processes;Processus de dégradation;
Wild animals and their outputs;Animaux sauvages et leurs produits;
Wild plants and their outputs;Plantes sauvages et leurs produits;
