French translation of Activity Values;";";A_Value;fr
Aquaculture;Aquaculture / pisciculture
Bees;Abeilles
Cattle;Bovin
Goats;Caprin
Mariculture;
Other;Autres
Pork;Porcin
Poultry;Avicole
Sheep;Ovin
Capacity building;Appui technique
Education;Education 
Financial support;Appui financier 
Health;Santé
Productive infrastructure;Infrastructures de production 
Roads;Infrastructures de transport 
Water supply;Eau et assaissement 
Off the lease;achat de la production paysanne
On the lease;location des terres des paysans
Afghanistan;Afghanistan
Albania;Albanie
Algeria;Algérie
American Samoa;Samoa américaines
Andorra;Andorre
Angola;Angola
Anguilla;Anguilla
Antarctica;Antarctique
Antigua and Barbuda;Antigua-et-Barbuda
Argentina;Argentine
Armenia;Arménie
Aruba;Aruba
Australia;Australie
Austria;Autriche
Azerbaijan;Azerbaïdjan
Bahamas;Bahamas
Bahrain;Bahreïn
Bangladesh;Bangladesh
Barbados;Barbade
Belarus;Biélorussie
Belgium;Belgique
Belize;Belize
Benin;Bénin
Bermuda;Bermudes
Bhutan;Bhoutan
Bolivia, Plurinational State of;Bolivie
Bonaire, Sint Eustatius and Saba;Pays-Bas caribéens
Bosnia and Herzegovina;Bosnie-Herzégovine
Botswana;Botswana
Bouvet Island;Île Bouvet
Brazil;Brésil
British Indian Ocean Territory;Territoire britannique de l'océan Indien
Brunei Darussalam;Brunei
Bulgaria;Bulgarie
Burkina Faso;Burkina Faso
Burundi;Burundi
Cambodia;Cambodge
Cameroon;Cameroun
Canada;Canada
Cape Verde;Cap-Vert
Cayman Islands;Îles Caïmans
Central African Republic;République centrafricaine
Chad;Tchad
Chile;Chili
China;Chine
Christmas Island;Île Christmas
Cocos (Keeling) Islands;Îles Cocos
Colombia;Colombie
Comoros;Comores
Congo;République du Congo
Congo, the Democratic Republic of the;République démocratique du Congo
Cook Islands;Îles Cook
Costa Rica;Costa Rica
Croatia;Croatie
Cuba;Cuba
Curaçao;Curaçao
Cyprus;Chypre
Czech Republic;République tchèque
Côte d'Ivoire;Côte d'Ivoire
Denmark;Danemark
Djibouti;Djibouti
Dominica;Dominique
Dominican Republic;République dominicaine
Ecuador;Équateur
Egypt;Égypte
El Salvador;Salvador
Equatorial Guinea;Guinée équatoriale
Eritrea;Érythrée
Estonia;Estonie
Ethiopia;Éthiopie
Falkland Islands (Malvinas);Malouines
Faroe Islands;Îles Féroé
Fiji;Fidji
Finland;Finlande
France;France
French Guiana;Guyane
French Polynesia;Polynésie française
French Southern Territories;Terres australes et antarctiques françaises
Gabon;Gabon
Gambia;Gambie
Georgia;Géorgie
Germany;Allemagne
Ghana;Ghana
Gibraltar;Gibraltar
Greece;Grèce
Greenland;Groenland
Grenada;Grenade
Guadeloupe;Guadeloupe
Guam;Guam
Guatemala;Guatemala
Guernsey;Guernesey
Guinea;Guinée
Guinea-Bissau;Guinée-Bissau
Guyana;Guyana
Haiti;Haïti
Heard Island and McDonald Islands;Îles Heard-et-MacDonald
Holy See (Vatican City State);Vatican
Honduras;Honduras
Hong Kong;Hong Kong
Hungary;Hongrie
Iceland;Islande
India;Inde
Indonesia;Indonésie
Iran, Islamic Republic of;Iran
Iraq;Irak
Ireland;Irlande
Isle of Man;Île de Man
Israel;Israël
Italy;Italie
Jamaica;Jamaïque
Japan;Japon
Jersey;Jersey
Jordan;Jordanie
Kazakhstan;Kazakhstan
Kenya;Kenya
Kiribati;Kiribati
Korea, Democratic People's Republic of;Corée du Nord
Korea, Republic of;Corée du Sud
Kuwait;Koweït
Kyrgyzstan;Kirghizistan
Lao People's Democratic Republic;Laos
Latvia;Lettonie
Lebanon;Liban
Lesotho;Lesotho
Liberia;Liberia
Libya;Libye
Liechtenstein;Liechtenstein
Lithuania;Lituanie
Luxembourg;Luxembourg
Macao;Macao
Macedonia, The Former Yugoslav Republic of;Macédoine
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malaisie
Maldives;Maldives
Mali;Mali
Malta;Malte
Marshall Islands;Marshall
Martinique;Martinique
Mauritania;Mauritanie
Mauritius;Maurice
Mayotte;Mayotte
