French translation of Activity Values for SPM;";";A_Value;fr
Banana;Bananes
Cattle;Bétail
Clove;Girofle
Cocoa;Cacao
Coffee;Café
Honey;Miel
Litchi;Letchi
Other fruits;Autre fruit
Other vegetables;Autre légume
Pineapple;Ananas
Porc;Porc
Poultry;Volailles
Rice;Riz
Silk;Soie
Spices;Epices
Sugarcane;Canne à sucre
Vanilla;Vanille
Ambahoabe;Ambahoabe
Ambalabe;Ambalabe
Ambanizana;Ambanizana
Ambatoaranana Tsaratampona;Ambatoaranana Tsaratampona
Ambatoharanana;Ambatoharanana
Ambinanitelo;Ambinanitelo
Ambodiampana;Ambodiampana
Ambodimanga;Ambodimanga
Ambodimanga II;Ambodimanga II
Ambodimanga Rantabe;Ambodimanga Rantabe
Ambodimangavalo;Ambodimangavalo
Ambodivoanio;Ambodivoanio
Ambohibe;Ambohibe
Ambohitralalana;Ambohitralalana
Ampanavoana;Ampanavoana
Ampasimazava;Ampasimazava
Ampasimbe Manantsatrana;Ampasimbe Manantsatrana
Ampasina_Maningory;Ampasina_Maningory
Anandrivola;Anandrivola
Andapafito;Andapafito
Andasibe;Andasibe
Andranofotsy;Andranofotsy
Androndrona_Anava;Androndrona_Anava
Anjahambe;Anjahambe
Anjahana;Anjahana
Anjanazana Ankadimbazaha;Anjanazana Ankadimbazaha
Ankofa;Ankofa
Ankofabe;Ankofabe
Antakotako;Antakotako
Antalaha;Antalaha
Antanambaobe;Antanambaobe
Antanambe;Antanambe
Antananivo;Antananivo
Antanifotsy;Antanifotsy
Antenina;Antenina
Antombana;Antombana
Antsiatsiaka;Antsiatsiaka
Antsirabe-Sahatany;Antsirabe-Sahatany
Fenoarivo Atsinanana;Fenoarivo Atsinanana
Fotsialanana;Fotsialanana
Imorona;Imorona
Ivoloina;Ivoloina
Lonkintsy;Lonkintsy
Mahalevona;Mahalevona
Mahambo;Mahambo
Mahanoro;Mahanoro
Manambolo;Manambolo
Manambolosy;Manambolosy
Mananara_Avaratra;Mananara_Avaratra
Manompana;Manompana
Maroantsetra;Maroantsetra
Marofinaritra;Marofinaritra
Maromitety;Maromitety
Miarinarivo;Miarinarivo
Miaromivalana I;Miaromivalana I
Morafeno;Morafeno
Rantabe;Rantabe
Sahatavy;Sahatavy
Sandrakatsy;Sandrakatsy
Saranambana;Saranambana
Saromaona;Saromaona
Soanierana-Ivongo;Soanierana-Ivongo
Tanibe;Tanibe
Vanono;Vanono
Vavatenina;Vavatenina
Vinanivao;Vinanivao
Vohilengo;Vohilengo
Vohipeno;Vohipeno
Internet;Internet
Interview;Entretien
Media article;Article de presse
Other;Autre
Personal information;Information personnelle
Research paper;Article de revue scientifique
Domestic use;Autoconsommation
Export (International);Niveau international
National level;Niveau national
Regional or communal level;Niveau régional et communal
Artisanal Mining;Extraction minière artisanale
Commercial agriculture;Agriculture de rente
Communication;Communication
Conservation;Conservation
Cultural;Culturel
Disaster risk reduction;Réduction de risques de catastrophe
Ecotourism;Ecotourisme
Education;Education
Emergency relief;Secours d'urgence
Financing;Financement
Forestry;Foresterie
Freshwater fisheries;Pêche continentale
Governance;Gouvernance
Industrial mining;Extraction minière industrielle
Irrigation infrastructure construction;Construction de systèmes d'irrigation
Land tenure;Foncier
Livestock (long cycle);Elevage de cycle long
Livestock (short cycle);Elevage de cycle court
Marine fisheries;Pêche maritime
Research;Recherche scientifique
Road infrastructure construction;Construction des infrastructures routières
Sanitation;Assainissement
Subsistence agriculture;Agriculture de subsistance
Water supply and management;Approvisionnement et la gestion de l'eau
Andapa;Andapa
Fenoarivo-Est;Fenoarivo-Est
Mananara Avaratra;Mananara Avaratra
Sainte-Marie;Sainte-Marie
Soanierana Ivongo;Soanierana Ivongo
Communal;Communal
Company;Compagnie
Group;Group
Individual non-titled;Individuel non-titré
Individual titled;Individuel titré
State;Etat
Communal / Village;Commune / village
Agroforestry (or tree crops) for commercial use;Agroforesterie (ou arbres fruitiers) à des fins commerciales
Agroforestry (or tree crops) for subsistence use;Agroforesterie (ou arbres fruitiers) de subsistance
Fisheries;Pêche
Forest conservation;Conservation de la forêt naturelle
Forestry for commercial use;Foresterie  à des fins commerciales
Forestry for subsistence use;Foresterie  de subsistance
Homegardens (vegetable production) for commercial use;Jardins de case (production des légumes) à des fins commerciales
Homegardens (vegetable production) for subsistence use;Jardins de case (production des légumes) de subsistance
Irrigated rice production for commercial use;Production du riz irrigué à des fins commerciales
Irrigated rice production for subsistence use;Production du riz irrigué de subsistance
Other (please specify);Autre (à spécifier)
Pasture;Pâturage
Settlements;Habitations
Shifting cultivation (tavy, jinja);Culture sur brûlis (tavy, jinja)
Commune;Commune
District;District
Fokontany;Fokontany
International;International
National;National
Regional;Régional
Agriculture;Agriculture
DRR or emergency relief;RRC ou secours d'urgence
Economic;Socio-économique
Infrastructure;Infrastructure
Mining;Exploitation minière
Socio-cultural;Socioculturelle
Tourism;Tourisme
Water;Eau
Construction wood;Bois de construction
Firewood;Bois de chauffe
Gems;Pierres précieux
Metals;Métaux
Raffia;Raphia
Finalised;Clôturé
Foreseen;En vue
Running;En cours
Children;Enfants
Church;Eglise
Entire community;Ensemble de la communauté
Fokontany administration;Administration du Fokontany
Group / Association;Groupe /Association
Household;Ménage
Men;Hommes
Traditional authorities;Autorités traditionnels
Women;Femmes
Youth;Adolescents
