French translation of Categories;";";Category;fr
Spatial Data;Données géographiques
Location;Localisation
General Information;Informations générales
Land Area;Superficie
Intention of Investment;Secteur d'activité
Nature of the Deal;Type d'accès à la terre
Negotiation Status;Etape administrative pour l'accès au foncier
Duration of the Agreement;Durée du contrat
Implementation Status;Etat d'avancement 
Purchase Price;Prix d'achat
Leasing Fees;Redevances foncières
Contract Farming;Agriculture contractuelle
Amount of Investment;Montant de l'investissement
Employment;Emploi
Number of Jobs Created;Nombres d'emplois créés
Investor Info;Information sur l'investisseur
Primary Investor;Entreprise opérant au niveau national
Secondary Investors;Entreprises finançant le projet
Data Sources;Sources des données
Data Source;Source des données
Local Communities;Populations locales
How did Community React?;Réactions locales 
Consultation of Local Community;Consultations tenues au niveau local 
Promised or Received Compensation;Engagements écrits relatifs aux contreparties
Benefits for Local Communities;Contreparties pour les populations locales
Number of People Actually Displaced;Nombre de personnes effectivement déplacées
Former Use;Usages antérieurs
Former Land Owner;Statuts juridiques antérieurs du terrain
Former Land Use;Usage du sol antérieur
Former Land Cover;Couverture végétale antérieure
Produce Info;
Detailed Crop, Animal and Mineral Information;Info détaillée sur les productions 
Use of Produce;Marchés visés
Water;Eau 
Source of Water Extraction;Sources des prélevements en eau
How Much do Investors Pay for Water and the Use of Water Infrastruture?;Redevances hydrauliques
How Much Water Is Extracted?;Quantité d'eau prélevée
Stakeholder Information;Information sur les entreprises
