French translation of Categories for SPM;";";Category;fr
General Information;Information générale
Activity Info;Information sur l'activité
Spatial Data;Données spatiales
Data source;Source de données
Stakeholder Info;Information sur l'acteur
Involvement;Engagement
Focus of activity;Activité principale
Why this exact location to implement this activity;Pourquoi cette location pour la mise en œuvre de l'activité
Land use;Type d'utilisation de terres
Level of intervention;Niveau d'intervention
Type of local stakeholder addressed;Types d’acteurs locaux auxquels s’adresse l'activité
Provisioning ecosystem services;Services environnementaux de production
Regulating ecosystem services;Services environnementaux de régulation
Cultural ecosystem services;Services environnementaux culturels
Other information;Autre information
Produce;Produit
Land rights;Droits fonciers
Population involved;Population impliqué
Employment;Emploi
Main constraints;Principales contraintes
Stakeholder Info;Information sur l'acteur
Why Madagascar?;Pourquoi Madagascar?
Reasons for involvement in Madagascar;Justifications pour l'engagement à Madagascar
External factors;Facteurs externes
External factors influencing stakeholders activities in Madagascar;Facteurs externes
