French translation of Stakeholder Values;";";SH_Value;fr
Afghanistan;Afghanistan
Albania;Albanie
Algeria;Algérie
American Samoa;Samoa américaines
Andorra;Andorre
Angola;Angola
Anguilla;Anguilla
Antarctica;Antarctique
Antigua and Barbuda;Antigua-et-Barbuda
Argentina;Argentine
Armenia;Arménie
Aruba;Aruba
Australia;Australie
Austria;Autriche
Azerbaijan;Azerbaïdjan
Bahamas;Bahamas
Bahrain;Bahreïn
Bangladesh;Bangladesh
Barbados;Barbade
Belarus;Biélorussie
Belgium;Belgique
Belize;Belize
Benin;Bénin
Bermuda;Bermudes
Bhutan;Bhoutan
Bolivia, Plurinational State of;Bolivie
Bonaire, Sint Eustatius and Saba;Pays-Bas caribéens
Bosnia and Herzegovina;Bosnie-Herzégovine
Botswana;Botswana
Bouvet Island;Île Bouvet
Brazil;Brésil
British Indian Ocean Territory;Territoire britannique de l'océan Indien
Brunei Darussalam;Brunei
Bulgaria;Bulgarie
Burkina Faso;Burkina Faso
Burundi;Burundi
Cambodia;Cambodge
Cameroon;Cameroun
Canada;Canada
Cape Verde;Cap-Vert
Cayman Islands;Îles Caïmans
Central African Republic;République centrafricaine
Chad;Tchad
Chile;Chili
China;Chine
Christmas Island;Île Christmas
Cocos (Keeling) Islands;Îles Cocos
Colombia;Colombie
Comoros;Comores
Congo;République du Congo
Congo, the Democratic Republic of the;République démocratique du Congo
Cook Islands;Îles Cook
Costa Rica;Costa Rica
Croatia;Croatie
Cuba;Cuba
Curaçao;Curaçao
Cyprus;Chypre
Czech Republic;République tchèque
Côte d'Ivoire;Côte d'Ivoire
Denmark;Danemark
Djibouti;Djibouti
Dominica;Dominique
Dominican Republic;République dominicaine
Ecuador;Équateur
Egypt;Égypte
El Salvador;Salvador
Equatorial Guinea;Guinée équatoriale
Eritrea;Érythrée
Estonia;Estonie
Ethiopia;Éthiopie
Falkland Islands (Malvinas);Malouines
Faroe Islands;Îles Féroé
Fiji;Fidji
Finland;Finlande
France;France
French Guiana;Guyane
French Polynesia;Polynésie française
French Southern Territories;Terres australes et antarctiques françaises
Gabon;Gabon
Gambia;Gambie
Georgia;Géorgie
Germany;Allemagne
Ghana;Ghana
Gibraltar;Gibraltar
Greece;Grèce
Greenland;Groenland
Grenada;Grenade
Guadeloupe;Guadeloupe
Guam;Guam
Guatemala;Guatemala
Guernsey;Guernesey
Guinea;Guinée
Guinea-Bissau;Guinée-Bissau
Guyana;Guyana
Haiti;Haïti
Heard Island and McDonald Islands;Îles Heard-et-MacDonald
Holy See (Vatican City State);Vatican
Honduras;Honduras
Hong Kong;Hong Kong
Hungary;Hongrie
Iceland;Islande
India;Inde
Indonesia;Indonésie
Iran, Islamic Republic of;Iran
Iraq;Irak
Ireland;Irlande
Isle of Man;Île de Man
Israel;Israël
Italy;Italie
Jamaica;Jamaïque
Japan;Japon
Jersey;Jersey
Jordan;Jordanie
Kazakhstan;Kazakhstan
Kenya;Kenya
Kiribati;Kiribati
Korea, Democratic People's Republic of;Corée du Nord
Korea, Republic of;Corée du Sud
Kuwait;Koweït
Kyrgyzstan;Kirghizistan
Lao People's Democratic Republic;Laos
Latvia;Lettonie
Lebanon;Liban
Lesotho;Lesotho
Liberia;Liberia
Libya;Libye
Liechtenstein;Liechtenstein
Lithuania;Lituanie
Luxembourg;Luxembourg
Macao;Macao
Macedonia, The Former Yugoslav Republic of;Macédoine
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malaisie
Maldives;Maldives
Mali;Mali
Malta;Malte
Marshall Islands;Marshall
Martinique;Martinique
Mauritania;Mauritanie
Mauritius;Maurice
Mayotte;Mayotte
Mexico;Mexique
Micronesia, Federated States of;Micronésie
Moldova, Republic of;Moldavie
Monaco;Monaco
Mongolia;Mongolie
Montenegro;Monténégro
Montserrat;Montserrat
Morocco;Maroc
Mozambique;Mozambique
Myanmar;Birmanie
Namibia;Namibie
Nauru;Nauru
Nepal;Népal
Netherlands;Pays-Bas
New Caledonia;Nouvelle-Calédonie
New Zealand;Nouvelle-Zélande
Nicaragua;Nicaragua
Niger;Niger
Nigeria;Nigeria
Niue;Nioué
Norfolk Island;Île Norfolk
Northern Mariana Islands;Îles Mariannes du Nord
Norway;Norvège
Oman;Oman
Pakistan;Pakistan
Palau;Palaos
Palestine, State of;Palestine
Panama;Panama
Papua New Guinea;Papouasie-Nouvelle-Guinée
Paraguay;Paraguay
Peru;Pérou
Philippines;Philippines
Pitcairn;Îles Pitcairn
Poland;Pologne
Portugal;Portugal
Puerto Rico;Porto Rico
Qatar;Qatar
Romania;Roumanie
Russian Federation;Russie
Rwanda;Rwanda
Réunion;La Réunion
Saint Barthélemy;Saint-Barthélemy
Saint Helena, Ascension and Tristan da Cunha;Sainte-Hélène
Saint Kitts and Nevis;Saint-Christophe-et-Niévès
Saint Lucia;Sainte-Lucie
Saint Martin (French part);Saint-Martin
Saint Pierre and Miquelon;Saint-Pierre-et-Miquelon
Saint Vincent and the Grenadines;Saint-Vincent-et-les Grenadines
Samoa;Samoa
San Marino;Saint-Marin
Sao Tome and Principe;Sao Tomé-et-Principe
Saudi Arabia;Arabie saoudite
Senegal;Sénégal
Serbia;Serbie
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Singapore;Singapour
Sint Maarten (Dutch part);Sint Maarten
Slovakia;Slovaquie
Slovenia;Slovénie
Solomon Islands;Salomon
Somalia;Somalie
South Africa;Afrique du Sud
South Georgia and the South Sandwich Islands;Géorgie du Sud-et-les Îles Sandwich du Sud
South Sudan;Soudan du Sud
Spain;Espagne
Sri Lanka;Sri Lanka
Sudan;Soudan
Suriname;Suriname
Svalbard and Jan Mayen;Svalbard et ile Jan Mayen
Swaziland;Swaziland
Sweden;Suède
Switzerland;Suisse
Syrian Arab Republic;Syrie
Taiwan, Province of China;Taïwan
Tajikistan;Tadjikistan
Tanzania, United Republic of;Tanzanie
Thailand;Thaïlande
Timor-Leste;Timor oriental
Togo;Togo
Tokelau;Tokelau
Tonga;Tonga
Trinidad and Tobago;Trinité-et-Tobago
Tunisia;Tunisie
Turkey;Turquie
Turkmenistan;Turkménistan
Turks and Caicos Islands;Îles Turques-et-Caïques
Tuvalu;Tuvalu
Uganda;Ouganda
Ukraine;Ukraine
United Arab Emirates;Émirats arabes unis
United Kingdom;Royaume-Uni
United States;États-Unis
United States Minor Outlying Islands;Îles mineures éloignées des États-Unis
Uruguay;Uruguay
Uzbekistan;Ouzbékistan
Vanuatu;Vanuatu
Venezuela, Bolivarian Republic of;Venezuela
Viet Nam;Viêt Nam
Virgin Islands, British;Îles Vierges britanniques
Virgin Islands, U.S.;Îles Vierges des États-Unis
Wallis and Futuna;Wallis-et-Futuna
Western Sahara;République arabe sahraouie démocratique
Yemen;Yémen
Zambia;Zambie
Zimbabwe;Zimbabwe
Åland Islands;Îles Åland
Agriculture;Agriculture
Energy sector;Secteur d'énergie 
Financial Investment;
Financial sector;Finances
Food production;Production agricole
Mining;Mines
Other;Autres
Tourism;Tourisme 
Individual entrepreneur;Entrepreneur individuel 
Investment fund;Fond d'investissement
Private company;Entreprise privée 
Public investor;Fonds gouvernemental 
Semi-state owned;Etablissement semi-public 
State-owned company;Etablissement public
