French translation of Stakeholder Values for SPM;";";SH_Value;fr
Afghanistan;Afghanistan
Albania;Albanie
Algeria;Algérie
American Samoa;Samoa américaines
Andorra;Andorre
Angola;Angola
Anguilla;Anguilla
Antarctica;Antarctique
Antigua and Barbuda;Antigua-et-Barbuda
Argentina;Argentine
Armenia;Arménie
Aruba;Aruba
Australia;Australie
Austria;Autriche
Azerbaijan;Azerbaïdjan
Bahamas;Bahamas
Bahrain;Bahreïn
Bangladesh;Bangladesh
Barbados;Barbade
Belarus;Biélorussie
Belgium;Belgique
Belize;Belize
Benin;Bénin
Bermuda;Bermudes
Bhutan;Bhoutan
Bolivia, Plurinational State of;Bolivie
Bonaire, Sint Eustatius and Saba;Pays-Bas caribéens
Bosnia and Herzegovina;Bosnie-Herzégovine
Botswana;Botswana
Bouvet Island;Île Bouvet
Brazil;Brésil
British Indian Ocean Territory;Territoire britannique de l'océan Indien
Brunei Darussalam;Brunei
Bulgaria;Bulgarie
Burkina Faso;Burkina Faso
Burundi;Burundi
Cambodia;Cambodge
Cameroon;Cameroun
Canada;Canada
Cape Verde;Cap-Vert
Cayman Islands;Îles Caïmans
Central African Republic;République centrafricaine
Chad;Tchad
Chile;Chili
China;Chine
Christmas Island;Île Christmas
Cocos (Keeling) Islands;Îles Cocos
Colombia;Colombie
Comoros;Comores
Congo;République du Congo
Congo, the Democratic Republic of the;République démocratique du Congo
Cook Islands;Îles Cook
Costa Rica;Costa Rica
Croatia;Croatie
Cuba;Cuba
Curaçao;Curaçao
Cyprus;Chypre
Czech Republic;République tchèque
Côte d'Ivoire;Côte d'Ivoire
Denmark;Danemark
Djibouti;Djibouti
Dominica;Dominique
Dominican Republic;République dominicaine
Ecuador;Équateur
Egypt;Égypte
El Salvador;Salvador
Equatorial Guinea;Guinée équatoriale
Eritrea;Érythrée
Estonia;Estonie
Ethiopia;Éthiopie
Falkland Islands (Malvinas);Malouines
Faroe Islands;Îles Féroé
Fiji;Fidji
Finland;Finlande
France;France
French Guiana;Guyane
French Polynesia;Polynésie française
French Southern Territories;Terres australes et antarctiques françaises
Gabon;Gabon
Gambia;Gambie
Georgia;Géorgie
Germany;Allemagne
Ghana;Ghana
Gibraltar;Gibraltar
Greece;Grèce
Greenland;Groenland
Grenada;Grenade
Guadeloupe;Guadeloupe
Guam;Guam
Guatemala;Guatemala
Guernsey;Guernesey
Guinea;Guinée
Guinea-Bissau;Guinée-Bissau
Guyana;Guyana
Haiti;Haïti
Heard Island and McDonald Islands;Îles Heard-et-MacDonald
Holy See (Vatican City State);Vatican
Honduras;Honduras
Hong Kong;Hong Kong
Hungary;Hongrie
Iceland;Islande
India;Inde
Indonesia;Indonésie
Iran, Islamic Republic of;Iran
Iraq;Irak
Ireland;Irlande
Isle of Man;Île de Man
Israel;Israël
Italy;Italie
Jamaica;Jamaïque
Japan;Japon
Jersey;Jersey
Jordan;Jordanie
Kazakhstan;Kazakhstan
Kenya;Kenya
Kiribati;Kiribati
Korea, Democratic People's Republic of;Corée du Nord
Korea, Republic of;Corée du Sud
Kuwait;Koweït
Kyrgyzstan;Kirghizistan
Lao People's Democratic Republic;Laos
Latvia;Lettonie
Lebanon;Liban
Lesotho;Lesotho
Liberia;Liberia
Libya;Libye
Liechtenstein;Liechtenstein
Lithuania;Lituanie
Luxembourg;Luxembourg
Macao;Macao
Macedonia, The Former Yugoslav Republic of;Macédoine
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malaisie
Maldives;Maldives
Mali;Mali
Malta;Malte
Marshall Islands;Marshall
Martinique;Martinique
Mauritania;Mauritanie
Mauritius;Maurice
Mayotte;Mayotte
Mexico;Mexique
Micronesia, Federated States of;Micronésie
Moldova, Republic of;Moldavie
Monaco;Monaco
Mongolia;Mongolie
Montenegro;Monténégro
Montserrat;Montserrat
Morocco;Maroc
Mozambique;Mozambique
Myanmar;Birmanie
Namibia;Namibie
Nauru;Nauru
Nepal;Népal
Netherlands;Pays-Bas
New Caledonia;Nouvelle-Calédonie
New Zealand;Nouvelle-Zélande
Nicaragua;Nicaragua
Niger;Niger
Nigeria;Nigeria
Niue;Nioué
Norfolk Island;Île Norfolk
Northern Mariana Islands;Îles Mariannes du Nord
Norway;Norvège
Oman;Oman
Pakistan;Pakistan
Palau;Palaos
Palestine, State of;Palestine
Panama;Panama
Papua New Guinea;Papouasie-Nouvelle-Guinée
Paraguay;Paraguay
Peru;Pérou
Philippines;Philippines
Pitcairn;Îles Pitcairn
Poland;Pologne
Portugal;Portugal
Puerto Rico;Porto Rico
Qatar;Qatar
Romania;Roumanie
Russian Federation;Russie
Rwanda;Rwanda
Réunion;La Réunion
Saint Barthélemy;Saint-Barthélemy
Saint Helena, Ascension and Tristan da Cunha;Sainte-Hélène
Saint Kitts and Nevis;Saint-Christophe-et-Niévès
Saint Lucia;Sainte-Lucie
Saint Martin (French part);Saint-Martin
Saint Pierre and Miquelon;Saint-Pierre-et-Miquelon
Saint Vincent and the Grenadines;Saint-Vincent-et-les Grenadines
Samoa;Samoa
San Marino;Saint-Marin
Sao Tome and Principe;Sao Tomé-et-Principe
Saudi Arabia;Arabie saoudite
Senegal;Sénégal
Serbia;Serbie
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Singapore;Singapour
Sint Maarten (Dutch part);Sint Maarten
Slovakia;Slovaquie
Slovenia;Slovénie
Solomon Islands;Salomon
Somalia;Somalie
South Africa;Afrique du Sud
South Georgia and the South Sandwich Islands;Géorgie du Sud-et-les Îles Sandwich du Sud
South Sudan;Soudan du Sud
Spain;Espagne
Sri Lanka;Sri Lanka
Sudan;Soudan
Suriname;Suriname
Svalbard and Jan Mayen;Svalbard et ile Jan Mayen
Swaziland;Swaziland
Sweden;Suède
Switzerland;Suisse
Syrian Arab Republic;Syrie
Taiwan, Province of China;Taïwan
Tajikistan;Tadjikistan
Tanzania, United Republic of;Tanzanie
Thailand;Thaïlande
Timor-Leste;Timor oriental
Togo;Togo
Tokelau;Tokelau
Tonga;Tonga
Trinidad and Tobago;Trinité-et-Tobago
Tunisia;Tunisie
Turkey;Turquie
Turkmenistan;Turkménistan
Turks and Caicos Islands;Îles Turques-et-Caïques
Tuvalu;Tuvalu
Uganda;Ouganda
Ukraine;Ukraine
United Arab Emirates;Émirats arabes unis
United Kingdom;Royaume-Uni
United States;États-Unis
United States Minor Outlying Islands;Îles mineures éloignées des États-Unis
Uruguay;Uruguay
Uzbekistan;Ouzbékistan
Vanuatu;Vanuatu
Venezuela, Bolivarian Republic of;Venezuela
Viet Nam;Viêt Nam
Virgin Islands, British;Îles Vierges britanniques
Virgin Islands, U.S.;Îles Vierges des États-Unis
Wallis and Futuna;Wallis-et-Futuna
Western Sahara;République arabe sahraouie démocratique
Yemen;Yémen
Zambia;Zambie
Zimbabwe;Zimbabwe
Åland Islands;Îles Åland
Ministère de l'Agriculture;Ministère de l'Agriculture
Ministère de l'Aménagement du Territoire;Ministère de l'Aménagement du Territoire
Ministère de l'Eau;Ministère de l'Eau
Ministère de l'Economie et de l'Industrie;Ministère de l'Economie et de l'Industrie
Ministère de l'Education nationale;Ministère de l'Education nationale
Ministère de l'Elevage;Ministère de l'Elevage
Ministère de l'Energie;Ministère de l'Energie
Ministère de l'Enseignement supérieur;Ministère de l'Enseignement supérieur
Ministère de l'Environnement et des Forêts;Ministère de l'Environnement et des Forêts
Ministère de la Décentralisation;Ministère de la Décentralisation
Ministère de la Population;Ministère de la Population
Ministère de la Pêche et des Ressources halieutiques;Ministère de la Pêche et des Ressources halieutiques
Ministère de la Santé publique;Ministère de la Santé publique
Ministère des Finances et du Budget;Ministère des Finances et du Budget
Ministère des Travaux publics et de la Météorologie;Ministère des Travaux publics et de la Météorologie
Ministère du Commerce;Ministère du Commerce
Ministère du Tourisme ;Ministère du Tourisme 
Ministères des Mines;Ministères des Mines
Other (please specify);Autre (à spécifier)
Code de l'eau;Code de l'eau
Code des aires protégées;Code des aires protégées
Code minier;Code minier
Environmental Impact Assessment;Etude d’impact environnementale (Décret MECIE)
GELOSE;GELOSE
Artisanal mining;Exploitation minière artisanale
Commercial agriculture;Agriculture de rente
Communication;Communication
Conservation;Conservation
Cultural;Culturel
Disaster risk reduction;Réduction de risques de catastrophes
Ecotourism;Tourisme / écotourisme
Education;Education
Emergency relief;Secours d'urgence
Financing;Financement
Forestry;Foresterie
Freshwater fisheries;Pêche continentale
Governance;Gouvernance
Industrial mining;Exploitation minière industrielle
Irrigation infrastructure construction;Construction de systèmes d'irrigation
Land tenure;Foncier
Livestock (long cycle);Elevage (cycle long)
Livestock (short cycle);Elevage (cycle court)
Marine fisheries;Pêche maritime
Other;Autre
Research;Recherche scientifique
Road infrastructure construction;Construction des infrastructures routières
Sanitation;Assainissement
Subsistence agriculture;Agriculture de subsistance
Water supply and management;Approvisionnement et la gestion de l'eau
Association;Association
International Government;Gouvernement internationale
International NGO;ONG internationale
International Organisation (UN, Worldbank etc.);Organisation internationale (ONU, Banque Mondiale etc.)
International foundation / trust;Fondation internationale
International individual;Individu internationale
International private enterprise;Entreprise privée internationale
International state enterprise;Entreprise étatique internationale
National Government;Gouvernement national
National NGO;ONG nationale
National foundation / trust;Fondation nationale
National individual;Individu nationale
National private enterprise;Entreprise privée internationale
National state enterprise;Entreprise étatique nationale
